,n_genes,dataset
"""ASGR1pos304_6_125""",932,human_liver_2019
"""ASGR1pos304_6_126""",614,human_liver_2019
"""ASGR1pos304_6_127""",1246,human_liver_2019
"""ASGR1pos304_6_131""",1071,human_liver_2019
"""ASGR1pos304_6_134""",1859,human_liver_2019
"""ASGR1pos304_6_135""",1883,human_liver_2019
"""ASGR1pos304_6_136""",1310,human_liver_2019
"""ASGR1pos304_6_137""",687,human_liver_2019
"""ASGR1pos304_6_140""",1739,human_liver_2019
"""ASGR1pos304_6_142""",1702,human_liver_2019
"""ASGR1pos304_6_143""",755,human_liver_2019
"""ASGR1pos304_6_146""",980,human_liver_2019
"""ASGR1pos304_6_150""",787,human_liver_2019
"""ASGR1pos304_6_152""",1708,human_liver_2019
"""ASGR1pos304_6_154""",545,human_liver_2019
"""ASGR1pos304_6_156""",1538,human_liver_2019
"""ASGR1pos304_6_161""",1191,human_liver_2019
"""ASGR1pos304_6_163""",630,human_liver_2019
"""ASGR1pos304_6_164""",1689,human_liver_2019
"""ASGR1pos304_6_167""",2506,human_liver_2019
"""ASGR1pos304_6_170""",2530,human_liver_2019
"""ASGR1pos304_6_172""",845,human_liver_2019
"""ASGR1pos304_6_176""",1773,human_liver_2019
"""ASGR1pos304_6_178""",2053,human_liver_2019
"""ASGR1pos304_6_181""",3353,human_liver_2019
"""ASGR1pos304_6_182""",966,human_liver_2019
"""ASGR1pos304_6_187""",1410,human_liver_2019
"""ASGR1pos304_6_188""",1112,human_liver_2019
"""ASGR1pos304_6_189""",1198,human_liver_2019
"""ASGR1pos304_6_190""",658,human_liver_2019
"""ASGR1pos304_7_2""",1574,human_liver_2019
"""ASGR1pos304_7_3""",2015,human_liver_2019
"""ASGR1pos304_7_4""",2228,human_liver_2019
"""ASGR1pos304_7_5""",377,human_liver_2019
"""ASGR1pos304_7_6""",1659,human_liver_2019
"""ASGR1pos304_7_7""",709,human_liver_2019
"""ASGR1pos304_7_9""",406,human_liver_2019
"""ASGR1pos304_7_10""",1935,human_liver_2019
"""ASGR1pos304_7_11""",2420,human_liver_2019
"""ASGR1pos304_7_12""",459,human_liver_2019
"""ASGR1pos304_7_13""",993,human_liver_2019
"""ASGR1pos304_7_20""",556,human_liver_2019
"""ASGR1pos304_7_22""",868,human_liver_2019
"""ASGR1pos304_7_24""",1184,human_liver_2019
"""ASGR1pos304_7_28""",2200,human_liver_2019
"""ASGR1pos304_7_30""",1807,human_liver_2019
"""ASGR1pos304_7_32""",811,human_liver_2019
"""ASGR1pos304_7_33""",2071,human_liver_2019
"""ASGR1pos304_7_35""",1333,human_liver_2019
"""ASGR1pos304_7_38""",545,human_liver_2019
"""ASGR1pos304_7_39""",2006,human_liver_2019
"""ASGR1pos304_7_42""",1451,human_liver_2019
"""ASGR1pos304_7_43""",630,human_liver_2019
"""ASGR1pos304_7_44""",2191,human_liver_2019
"""ASGR1pos304_7_45""",3300,human_liver_2019
"""ASGR1pos304_7_49""",1392,human_liver_2019
"""ASGR1pos304_7_53""",860,human_liver_2019
"""ASGR1pos304_7_55""",626,human_liver_2019
"""ASGR1pos304_7_60""",419,human_liver_2019
"""ASGR1pos304_7_64""",1762,human_liver_2019
"""ASGR1pos304_7_68""",1553,human_liver_2019
"""ASGR1pos304_7_70""",1216,human_liver_2019
"""ASGR1pos304_7_74""",2569,human_liver_2019
"""ASGR1pos304_7_75""",677,human_liver_2019
