,gene_name,dataset
239,Plekhm3,old_10X_cruk_changed_buffer
240,Idh1,old_10X_cruk_changed_buffer
241,Pikfyve,old_10X_cruk_changed_buffer
242,Rpe,old_10X_cruk_changed_buffer
243,Kansl1l,old_10X_cruk_changed_buffer
244,Acadl,old_10X_cruk_changed_buffer
245,Myl1,old_10X_cruk_changed_buffer
246,Lancl1,old_10X_cruk_changed_buffer
247,Cps1,old_10X_cruk_changed_buffer
248,Erbb4,old_10X_cruk_changed_buffer
249,Ikzf2,old_10X_cruk_changed_buffer
250,Atic,old_10X_cruk_changed_buffer
251,Fn1,old_10X_cruk_changed_buffer
252,Apol7d,old_10X_cruk_changed_buffer
253,Gm8883,old_10X_cruk_changed_buffer
254,Gm28818,old_10X_cruk_changed_buffer
255,Gm4319,old_10X_cruk_changed_buffer
256,Mreg,old_10X_cruk_changed_buffer
257,Pecr,old_10X_cruk_changed_buffer
258,Tmem169,old_10X_cruk_changed_buffer
259,Xrcc5,old_10X_cruk_changed_buffer
260,Smarcal1,old_10X_cruk_changed_buffer
261,Gm39662,old_10X_cruk_changed_buffer
262,Rpl37a,old_10X_cruk_changed_buffer
263,Igfbp2,old_10X_cruk_changed_buffer
264,Igfbp5,old_10X_cruk_changed_buffer
265,Tnp1,old_10X_cruk_changed_buffer
266,C530043A13Rik,old_10X_cruk_changed_buffer
267,Tns1,old_10X_cruk_changed_buffer
268,Rufy4,old_10X_cruk_changed_buffer
269,Cxcr2,old_10X_cruk_changed_buffer
270,Arpc2,old_10X_cruk_changed_buffer
271,Aamp,old_10X_cruk_changed_buffer
272,Pnkd,old_10X_cruk_changed_buffer
273,Tmbim1,old_10X_cruk_changed_buffer
274,Gm29358,old_10X_cruk_changed_buffer
275,Slc11a1,old_10X_cruk_changed_buffer
276,Ctdsp1,old_10X_cruk_changed_buffer
277,Usp37,old_10X_cruk_changed_buffer
278,Cnot9,old_10X_cruk_changed_buffer
279,Plcd4,old_10X_cruk_changed_buffer
280,Zfp142,old_10X_cruk_changed_buffer
281,Bcs1l,old_10X_cruk_changed_buffer
282,Rnf25,old_10X_cruk_changed_buffer
283,Stk36,old_10X_cruk_changed_buffer
284,Ttll4,old_10X_cruk_changed_buffer
285,Cyp27a1,old_10X_cruk_changed_buffer
286,Prkag3,old_10X_cruk_changed_buffer
287,Ihh,old_10X_cruk_changed_buffer
288,Nhej1,old_10X_cruk_changed_buffer
289,Slc23a3,old_10X_cruk_changed_buffer
290,Cnppd1,old_10X_cruk_changed_buffer
291,Retreg2,old_10X_cruk_changed_buffer
292,Zfand2b,old_10X_cruk_changed_buffer
293,Abcb6,old_10X_cruk_changed_buffer
294,Atg9a,old_10X_cruk_changed_buffer
295,Ankzf1,old_10X_cruk_changed_buffer
296,Glb1l,old_10X_cruk_changed_buffer
297,Stk16,old_10X_cruk_changed_buffer
298,Tuba4a,old_10X_cruk_changed_buffer
299,Dnajb2,old_10X_cruk_changed_buffer
300,Dnpep,old_10X_cruk_changed_buffer
301,Des,old_10X_cruk_changed_buffer
302,Speg,old_10X_cruk_changed_buffer
303,Gmppa,old_10X_cruk_changed_buffer
304,Chpf,old_10X_cruk_changed_buffer
305,Obsl1,old_10X_cruk_changed_buffer
306,Inha,old_10X_cruk_changed_buffer
307,Stk11ip,old_10X_cruk_changed_buffer
308,Slc4a3,old_10X_cruk_changed_buffer
309,Gm816,old_10X_cruk_changed_buffer
310,Epha4,old_10X_cruk_changed_buffer
311,Farsb,old_10X_cruk_changed_buffer
312,BC035947,old_10X_cruk_changed_buffer
313,Mogat1,old_10X_cruk_changed_buffer
314,5730419F03Rik,old_10X_cruk_changed_buffer
315,Acsl3,old_10X_cruk_changed_buffer
316,Utp14b,old_10X_cruk_changed_buffer
317,Ap1s3,old_10X_cruk_changed_buffer
318,Wdfy1,old_10X_cruk_changed_buffer
319,Mrpl44,old_10X_cruk_changed_buffer
320,Serpine2,old_10X_cruk_changed_buffer
321,2310015K22Rik,old_10X_cruk_changed_buffer
322,Cul3,old_10X_cruk_changed_buffer
323,Dock10,old_10X_cruk_changed_buffer
324,Irs1,old_10X_cruk_changed_buffer
325,Gm9747,old_10X_cruk_changed_buffer
326,Rhbdd1,old_10X_cruk_changed_buffer
327,Col4a4,old_10X_cruk_changed_buffer
