,gene_name,dataset
256,Angptl4,snRNAseq2_old_buffer
257,Dbf4,snRNAseq2_old_buffer
258,Cd320,snRNAseq2_old_buffer
259,Ipo4,snRNAseq2_old_buffer
260,Tm9sf1,snRNAseq2_old_buffer
261,Rec8,snRNAseq2_old_buffer
262,Irf9,snRNAseq2_old_buffer
263,Gmpr2,snRNAseq2_old_buffer
264,Mdp1,snRNAseq2_old_buffer
265,Dhrs1,snRNAseq2_old_buffer
266,Ncan,snRNAseq2_old_buffer
267,Tmem161a,snRNAseq2_old_buffer
268,Armc6,snRNAseq2_old_buffer
269,Slc25a42,snRNAseq2_old_buffer
270,Ranbp3,snRNAseq2_old_buffer
271,Ndufa11,snRNAseq2_old_buffer
272,Nr2f6,snRNAseq2_old_buffer
273,Use1,snRNAseq2_old_buffer
274,Ocel1,snRNAseq2_old_buffer
275,Hltf,snRNAseq2_old_buffer
276,Abhd3,snRNAseq2_old_buffer
277,Tchp,snRNAseq2_old_buffer
278,Tiam1,snRNAseq2_old_buffer
279,Tsc2,snRNAseq2_old_buffer
280,Slc9a3r2,snRNAseq2_old_buffer
281,Puf60,snRNAseq2_old_buffer
282,Golga2,snRNAseq2_old_buffer
283,Uck1,snRNAseq2_old_buffer
284,Scin,snRNAseq2_old_buffer
285,Ikzf4,snRNAseq2_old_buffer
286,Axl,snRNAseq2_old_buffer
287,Tgfb1,snRNAseq2_old_buffer
288,Zfp40,snRNAseq2_old_buffer
289,Akap8l,snRNAseq2_old_buffer
290,Clpp,snRNAseq2_old_buffer
291,Med6,snRNAseq2_old_buffer
292,Prkd1,snRNAseq2_old_buffer
293,Cse1l,snRNAseq2_old_buffer
294,Naa20,snRNAseq2_old_buffer
295,Ykt6,snRNAseq2_old_buffer
296,Baz1b,snRNAseq2_old_buffer
297,Pex6,snRNAseq2_old_buffer
298,Mrpl2,snRNAseq2_old_buffer
299,Mea1,snRNAseq2_old_buffer
300,Gnmt,snRNAseq2_old_buffer
301,Grin2d,snRNAseq2_old_buffer
302,Kdelr1,snRNAseq2_old_buffer
303,Tmem143,snRNAseq2_old_buffer
304,Pdxk-ps,snRNAseq2_old_buffer
305,Ggct,snRNAseq2_old_buffer
306,Flii,snRNAseq2_old_buffer
307,Top3a,snRNAseq2_old_buffer
308,Atg4d,snRNAseq2_old_buffer
309,Qtrt1,snRNAseq2_old_buffer
310,Plin4,snRNAseq2_old_buffer
311,Hdgfl2,snRNAseq2_old_buffer
312,Chaf1a,snRNAseq2_old_buffer
313,Adprh,snRNAseq2_old_buffer
314,Tmem39a,snRNAseq2_old_buffer
315,Timmdc1,snRNAseq2_old_buffer
316,Pla1a,snRNAseq2_old_buffer
317,Mcm2,snRNAseq2_old_buffer
318,Tpra1,snRNAseq2_old_buffer
319,Adgre5,snRNAseq2_old_buffer
320,Il17ra,snRNAseq2_old_buffer
321,Lamb1,snRNAseq2_old_buffer
322,Kcnn1,snRNAseq2_old_buffer
323,Arrdc2,snRNAseq2_old_buffer
324,Timm44,snRNAseq2_old_buffer
325,Ap2a2,snRNAseq2_old_buffer
326,Pnkp,snRNAseq2_old_buffer
327,Med25,snRNAseq2_old_buffer
328,Clptm1,snRNAseq2_old_buffer
329,Relb,snRNAseq2_old_buffer
330,Tomm40,snRNAseq2_old_buffer
331,Apoe,snRNAseq2_old_buffer
332,Apoc2,snRNAseq2_old_buffer
333,Cdkn1b,snRNAseq2_old_buffer
334,Ap1m1,snRNAseq2_old_buffer
335,Fam32a,snRNAseq2_old_buffer
336,Cyp2c29,snRNAseq2_old_buffer
337,Stk11,snRNAseq2_old_buffer
338,Efna2,snRNAseq2_old_buffer
339,Atp5d,snRNAseq2_old_buffer
340,Ppp5c,snRNAseq2_old_buffer
341,Cdk12,snRNAseq2_old_buffer
342,Slc2a3,snRNAseq2_old_buffer
343,Foxj2,snRNAseq2_old_buffer
344,Sri,snRNAseq2_old_buffer
345,Dgcr2,snRNAseq2_old_buffer
346,Irf3,snRNAseq2_old_buffer
347,Zfp959,snRNAseq2_old_buffer
348,Mpnd,snRNAseq2_old_buffer
349,Sh3gl1,snRNAseq2_old_buffer
350,Ccdc94,snRNAseq2_old_buffer
351,Ranbp2,snRNAseq2_old_buffer
352,Grk5,snRNAseq2_old_buffer
353,Dvl3,snRNAseq2_old_buffer
354,Abcf3,snRNAseq2_old_buffer
355,Eif2b5,snRNAseq2_old_buffer
356,Cyth2,snRNAseq2_old_buffer
357,Sult2b1,snRNAseq2_old_buffer
358,Car11,snRNAseq2_old_buffer
359,Dlgap1,snRNAseq2_old_buffer
360,Plag1,snRNAseq2_old_buffer
361,Hck,snRNAseq2_old_buffer
362,Mrpl4,snRNAseq2_old_buffer
363,Keap1,snRNAseq2_old_buffer
364,Glg1,snRNAseq2_old_buffer
365,Atp8b3,snRNAseq2_old_buffer
366,Btbd2,snRNAseq2_old_buffer
367,Csnk1g2,snRNAseq2_old_buffer
368,Mob3a,snRNAseq2_old_buffer
369,Cacnb3,snRNAseq2_old_buffer
370,Ccdc65,snRNAseq2_old_buffer
371,Fkbp11,snRNAseq2_old_buffer
372,Ddx23,snRNAseq2_old_buffer
373,Pld3,snRNAseq2_old_buffer
374,Grik5,snRNAseq2_old_buffer
375,Cd79a,snRNAseq2_old_buffer
376,Etv3,snRNAseq2_old_buffer
377,Prkcsh,snRNAseq2_old_buffer
378,Rab3b,snRNAseq2_old_buffer
379,St8sia6,snRNAseq2_old_buffer
380,Fcgrt,snRNAseq2_old_buffer
381,Nosip,snRNAseq2_old_buffer
382,Pih1d1,snRNAseq2_old_buffer
383,Rps11,snRNAseq2_old_buffer
384,Supt5,snRNAseq2_old_buffer
385,Paf1,snRNAseq2_old_buffer
386,Timm50,snRNAseq2_old_buffer
387,Med29,snRNAseq2_old_buffer
388,Bicd1,snRNAseq2_old_buffer
389,Ncstn,snRNAseq2_old_buffer
390,Phyhip,snRNAseq2_old_buffer
391,Crhr2,snRNAseq2_old_buffer
392,Inmt,snRNAseq2_old_buffer
393,Cyp4f18,snRNAseq2_old_buffer
394,Impdh1,snRNAseq2_old_buffer
395,Psg18,snRNAseq2_old_buffer
396,Dusp3,snRNAseq2_old_buffer
397,Prodh,snRNAseq2_old_buffer
398,Dgcr14,snRNAseq2_old_buffer
399,Slc25a1,snRNAseq2_old_buffer
400,Dgcr6,snRNAseq2_old_buffer
401,Ddr1,snRNAseq2_old_buffer
