,n_genes,dataset
do20599,3356,snRNAseq2
do20600,3405,snRNAseq2
do20601,2387,snRNAseq2
do20602,3173,snRNAseq2
do20603,2674,snRNAseq2
do20604,2706,snRNAseq2
do20605,2019,snRNAseq2
do20606,2944,snRNAseq2
do20607,4898,snRNAseq2
do20608,4703,snRNAseq2
do20609,3704,snRNAseq2
do20610,3028,snRNAseq2
do20611,2601,snRNAseq2
do20612,3944,snRNAseq2
do20613,3269,snRNAseq2
do20614,4650,snRNAseq2
do20615,22,snRNAseq2
do20616,2563,snRNAseq2
do20617,1550,snRNAseq2
do20618,3678,snRNAseq2
do20619,3344,snRNAseq2
do20620,5038,snRNAseq2
do20621,3832,snRNAseq2
do20622,3312,snRNAseq2
do20623,5166,snRNAseq2
do20624,4660,snRNAseq2
do20625,1970,snRNAseq2
do20626,3216,snRNAseq2
do20627,5403,snRNAseq2
do20628,5137,snRNAseq2
do20629,3821,snRNAseq2
do20630,3172,snRNAseq2
do20631,3188,snRNAseq2
do20632,3328,snRNAseq2
do20633,1498,snRNAseq2
do20634,3094,snRNAseq2
do20635,3959,snRNAseq2
do20636,2282,snRNAseq2
do20637,3858,snRNAseq2
do20638,3738,snRNAseq2
do20639,5542,snRNAseq2
do20640,4616,snRNAseq2
do20641,1451,snRNAseq2
do20642,3920,snRNAseq2
do20643,1541,snRNAseq2
do20644,2913,snRNAseq2
do20645,3140,snRNAseq2
do20646,4850,snRNAseq2
do20647,3787,snRNAseq2
do20648,2488,snRNAseq2
do20649,2145,snRNAseq2
do20650,1409,snRNAseq2
do20651,3198,snRNAseq2
do20652,2814,snRNAseq2
do20653,2557,snRNAseq2
do20654,2562,snRNAseq2
do20655,4028,snRNAseq2
do20656,4691,snRNAseq2
do20657,3796,snRNAseq2
do20658,4384,snRNAseq2
do20659,3727,snRNAseq2
do20660,2951,snRNAseq2
do20661,3554,snRNAseq2
do20662,4584,snRNAseq2
do20663,460,snRNAseq2
do20664,3121,snRNAseq2
do20665,569,snRNAseq2
do20666,2920,snRNAseq2
do20667,3040,snRNAseq2
do20668,2704,snRNAseq2
do20669,694,snRNAseq2
do20670,2351,snRNAseq2
do20671,3922,snRNAseq2
do20672,2817,snRNAseq2
do20673,490,snRNAseq2
do20674,473,snRNAseq2
do20675,489,snRNAseq2
do20676,449,snRNAseq2
do20677,358,snRNAseq2
do20678,315,snRNAseq2
do20679,487,snRNAseq2
do20680,1175,snRNAseq2
do20681,3078,snRNAseq2
do20682,3676,snRNAseq2
do20683,1503,snRNAseq2
do20684,3500,snRNAseq2
do20685,3272,snRNAseq2
do20686,3242,snRNAseq2
do20687,1040,snRNAseq2
do20688,3688,snRNAseq2
do20689,3525,snRNAseq2
do20690,547,snRNAseq2
do20691,3758,snRNAseq2
do20692,3888,snRNAseq2
do20693,2456,snRNAseq2
do20694,391,snRNAseq2
do20695,549,snRNAseq2
do20696,611,snRNAseq2
do20697,4194,snRNAseq2
do20698,1026,snRNAseq2
do20699,1337,snRNAseq2
do20700,1110,snRNAseq2
do20701,2685,snRNAseq2
do20702,3116,snRNAseq2
do20703,2266,snRNAseq2
do20704,3537,snRNAseq2
do20705,561,snRNAseq2
do20706,476,snRNAseq2
do20707,3907,snRNAseq2
do20708,4046,snRNAseq2
do20709,3828,snRNAseq2
do20710,3041,snRNAseq2
do20711,547,snRNAseq2
do20712,2684,snRNAseq2
do20713,657,snRNAseq2
do20714,3263,snRNAseq2
do20715,3332,snRNAseq2
do20716,3611,snRNAseq2
do20717,3401,snRNAseq2
do20718,3316,snRNAseq2
do20719,3367,snRNAseq2
do20720,4048,snRNAseq2
do20721,3949,snRNAseq2
do20722,526,snRNAseq2
do20723,2476,snRNAseq2
do20724,3665,snRNAseq2
do20725,3387,snRNAseq2
do20726,388,snRNAseq2
do20727,547,snRNAseq2
do20728,2960,snRNAseq2
do20729,3180,snRNAseq2
do20730,1616,snRNAseq2
do20731,3127,snRNAseq2
do20732,2053,snRNAseq2
do20733,1424,snRNAseq2
do20734,2247,snRNAseq2
do20735,4465,snRNAseq2
do20736,2637,snRNAseq2
do20737,558,snRNAseq2
do20738,4111,snRNAseq2
