,n_genes,dataset
C16.MAA000907.3_11_M.1.1,1854,tabula_muris_2018_smatseq2
A12.MAA000907.3_11_M.1.1,1326,tabula_muris_2018_smatseq2
B14.MAA000907.3_11_M.1.1,2140,tabula_muris_2018_smatseq2
C17.MAA000907.3_11_M.1.1,2349,tabula_muris_2018_smatseq2
A13.MAA000907.3_11_M.1.1,3284,tabula_muris_2018_smatseq2
B15.MAA000907.3_11_M.1.1,2433,tabula_muris_2018_smatseq2
A14.MAA000907.3_11_M.1.1,1588,tabula_muris_2018_smatseq2
B16.MAA000907.3_11_M.1.1,969,tabula_muris_2018_smatseq2
A15.MAA000907.3_11_M.1.1,1697,tabula_muris_2018_smatseq2
B17.MAA000907.3_11_M.1.1,2533,tabula_muris_2018_smatseq2
A16.MAA000907.3_11_M.1.1,1123,tabula_muris_2018_smatseq2
B18.MAA000907.3_11_M.1.1,2546,tabula_muris_2018_smatseq2
A17.MAA000907.3_11_M.1.1,3288,tabula_muris_2018_smatseq2
B19.MAA000907.3_11_M.1.1,2374,tabula_muris_2018_smatseq2
A19.MAA000907.3_11_M.1.1,2165,tabula_muris_2018_smatseq2
B21.MAA000907.3_11_M.1.1,1696,tabula_muris_2018_smatseq2
A18.MAA000907.3_11_M.1.1,1436,tabula_muris_2018_smatseq2
B20.MAA000907.3_11_M.1.1,2602,tabula_muris_2018_smatseq2
A20.MAA000907.3_11_M.1.1,2463,tabula_muris_2018_smatseq2
B22.MAA000907.3_11_M.1.1,1925,tabula_muris_2018_smatseq2
D1.MAA000907.3_11_M.1.1,1205,tabula_muris_2018_smatseq2
E6.MAA000907.3_11_M.1.1,2494,tabula_muris_2018_smatseq2
F11.MAA000907.3_11_M.1.1,2765,tabula_muris_2018_smatseq2
G19.MAA000907.3_11_M.1.1,2676,tabula_muris_2018_smatseq2
I4.MAA000907.3_11_M.1.1,2218,tabula_muris_2018_smatseq2
J14.MAA000907.3_11_M.1.1,2512,tabula_muris_2018_smatseq2
D2.MAA000907.3_11_M.1.1,1756,tabula_muris_2018_smatseq2
E7.MAA000907.3_11_M.1.1,2287,tabula_muris_2018_smatseq2
F12.MAA000907.3_11_M.1.1,2178,tabula_muris_2018_smatseq2
G20.MAA000907.3_11_M.1.1,3161,tabula_muris_2018_smatseq2
I7.MAA000907.3_11_M.1.1,3166,tabula_muris_2018_smatseq2
K21.MAA000907.3_11_M.1.1,2300,tabula_muris_2018_smatseq2
J15.MAA000907.3_11_M.1.1,2702,tabula_muris_2018_smatseq2
K22.MAA000907.3_11_M.1.1,1358,tabula_muris_2018_smatseq2
M2.MAA000907.3_11_M.1.1,1597,tabula_muris_2018_smatseq2
M1.MAA000907.3_11_M.1.1,1445,tabula_muris_2018_smatseq2
N5.MAA000907.3_11_M.1.1,2391,tabula_muris_2018_smatseq2
O7.MAA000907.3_11_M.1.1,2215,tabula_muris_2018_smatseq2
P9.MAA000907.3_11_M.1.1,2258,tabula_muris_2018_smatseq2
N6.MAA000907.3_11_M.1.1,1886,tabula_muris_2018_smatseq2
E8.MAA000907.3_11_M.1.1,2679,tabula_muris_2018_smatseq2
F13.MAA000907.3_11_M.1.1,2326,tabula_muris_2018_smatseq2
G21.MAA000907.3_11_M.1.1,1712,tabula_muris_2018_smatseq2
I8.MAA000907.3_11_M.1.1,1427,tabula_muris_2018_smatseq2
J16.MAA000907.3_11_M.1.1,2382,tabula_muris_2018_smatseq2
L1.MAA000907.3_11_M.1.1,2181,tabula_muris_2018_smatseq2
M3.MAA000907.3_11_M.1.1,1374,tabula_muris_2018_smatseq2
N7.MAA000907.3_11_M.1.1,2316,tabula_muris_2018_smatseq2
O8.MAA000907.3_11_M.1.1,1974,tabula_muris_2018_smatseq2
O9.MAA000907.3_11_M.1.1,1237,tabula_muris_2018_smatseq2
P11.MAA000907.3_11_M.1.1,2538,tabula_muris_2018_smatseq2
P10.MAA000907.3_11_M.1.1,2644,tabula_muris_2018_smatseq2
D3.MAA000907.3_11_M.1.1,613,tabula_muris_2018_smatseq2
J17.MAA000907.3_11_M.1.1,2748,tabula_muris_2018_smatseq2
L2.MAA000907.3_11_M.1.1,2575,tabula_muris_2018_smatseq2
M4.MAA000907.3_11_M.1.1,2544,tabula_muris_2018_smatseq2
N8.MAA000907.3_11_M.1.1,2202,tabula_muris_2018_smatseq2
O10.MAA000907.3_11_M.1.1,467,tabula_muris_2018_smatseq2
P12.MAA000907.3_11_M.1.1,2387,tabula_muris_2018_smatseq2
D4.MAA000907.3_11_M.1.1,2658,tabula_muris_2018_smatseq2
E9.MAA000907.3_11_M.1.1,1647,tabula_muris_2018_smatseq2
F15.MAA000907.3_11_M.1.1,3232,tabula_muris_2018_smatseq2
G22.MAA000907.3_11_M.1.1,1539,tabula_muris_2018_smatseq2
I9.MAA000907.3_11_M.1.1,590,tabula_muris_2018_smatseq2
D5.MAA000907.3_11_M.1.1,3022,tabula_muris_2018_smatseq2
N9.MAA000907.3_11_M.1.1,2506,tabula_muris_2018_smatseq2
O11.MAA000907.3_11_M.1.1,2002,tabula_muris_2018_smatseq2
P13.MAA000907.3_11_M.1.1,2211,tabula_muris_2018_smatseq2
E11.MAA000907.3_11_M.1.1,2754,tabula_muris_2018_smatseq2
D6.MAA000907.3_11_M.1.1,2834,tabula_muris_2018_smatseq2
F16.MAA000907.3_11_M.1.1,2490,tabula_muris_2018_smatseq2
H1.MAA000907.3_11_M.1.1,2321,tabula_muris_2018_smatseq2
I10.MAA000907.3_11_M.1.1,3014,tabula_muris_2018_smatseq2
J19.MAA000907.3_11_M.1.1,3577,tabula_muris_2018_smatseq2
L3.MAA000907.3_11_M.1.1,1509,tabula_muris_2018_smatseq2
M6.MAA000907.3_11_M.1.1,1243,tabula_muris_2018_smatseq2
E12.MAA000907.3_11_M.1.1,3433,tabula_muris_2018_smatseq2
N10.MAA000907.3_11_M.1.1,2886,tabula_muris_2018_smatseq2
O12.MAA000907.3_11_M.1.1,355,tabula_muris_2018_smatseq2
P14.MAA000907.3_11_M.1.1,1911,tabula_muris_2018_smatseq2
D7.MAA000907.3_11_M.1.1,2671,tabula_muris_2018_smatseq2
F17.MAA000907.3_11_M.1.1,2108,tabula_muris_2018_smatseq2
E14.MAA000907.3_11_M.1.1,2537,tabula_muris_2018_smatseq2
F18.MAA000907.3_11_M.1.1,2595,tabula_muris_2018_smatseq2
H2.MAA000907.3_11_M.1.1,1972,tabula_muris_2018_smatseq2
I14.MAA000907.3_11_M.1.1,2774,tabula_muris_2018_smatseq2
J20.MAA000907.3_11_M.1.1,2533,tabula_muris_2018_smatseq2
L4.MAA000907.3_11_M.1.1,2452,tabula_muris_2018_smatseq2
M7.MAA000907.3_11_M.1.1,2593,tabula_muris_2018_smatseq2
H3.MAA000907.3_11_M.1.1,2684,tabula_muris_2018_smatseq2
O13.MAA000907.3_11_M.1.1,2181,tabula_muris_2018_smatseq2
P15.MAA000907.3_11_M.1.1,2234,tabula_muris_2018_smatseq2
I16.MAA000907.3_11_M.1.1,2579,tabula_muris_2018_smatseq2
D9.MAA000907.3_11_M.1.1,802,tabula_muris_2018_smatseq2
J21.MAA000907.3_11_M.1.1,1135,tabula_muris_2018_smatseq2
L5.MAA000907.3_11_M.1.1,1981,tabula_muris_2018_smatseq2
M8.MAA000907.3_11_M.1.1,1659,tabula_muris_2018_smatseq2
N11.MAA000907.3_11_M.1.1,2492,tabula_muris_2018_smatseq2
E15.MAA000907.3_11_M.1.1,2037,tabula_muris_2018_smatseq2
O14.MAA000907.3_11_M.1.1,1747,tabula_muris_2018_smatseq2
P16.MAA000907.3_11_M.1.1,1975,tabula_muris_2018_smatseq2
D10.MAA000907.3_11_M.1.1,2489,tabula_muris_2018_smatseq2
E16.MAA000907.3_11_M.1.1,2609,tabula_muris_2018_smatseq2
F19.MAA000907.3_11_M.1.1,1342,tabula_muris_2018_smatseq2
F20.MAA000907.3_11_M.1.1,2621,tabula_muris_2018_smatseq2
H6.MAA000907.3_11_M.1.1,1858,tabula_muris_2018_smatseq2
H5.MAA000907.3_11_M.1.1,2156,tabula_muris_2018_smatseq2
I18.MAA000907.3_11_M.1.1,2527,tabula_muris_2018_smatseq2
K1.MAA000907.3_11_M.1.1,1002,tabula_muris_2018_smatseq2
L6.MAA000907.3_11_M.1.1,1747,tabula_muris_2018_smatseq2
M9.MAA000907.3_11_M.1.1,1157,tabula_muris_2018_smatseq2
N12.MAA000907.3_11_M.1.1,2463,tabula_muris_2018_smatseq2
I19.MAA000907.3_11_M.1.1,2509,tabula_muris_2018_smatseq2
D11.MAA000907.3_11_M.1.1,3138,tabula_muris_2018_smatseq2
E17.MAA000907.3_11_M.1.1,2338,tabula_muris_2018_smatseq2
F21.MAA000907.3_11_M.1.1,1770,tabula_muris_2018_smatseq2
H7.MAA000907.3_11_M.1.1,4110,tabula_muris_2018_smatseq2
K2.MAA000907.3_11_M.1.1,2793,tabula_muris_2018_smatseq2
I20.MAA000907.3_11_M.1.1,3309,tabula_muris_2018_smatseq2
K3.MAA000907.3_11_M.1.1,1832,tabula_muris_2018_smatseq2
L8.MAA000907.3_11_M.1.1,2093,tabula_muris_2018_smatseq2
L7.MAA000907.3_11_M.1.1,2520,tabula_muris_2018_smatseq2
M10.MAA000907.3_11_M.1.1,2083,tabula_muris_2018_smatseq2
N13.MAA000907.3_11_M.1.1,245,tabula_muris_2018_smatseq2
O15.MAA000907.3_11_M.1.1,2375,tabula_muris_2018_smatseq2
P17.MAA000907.3_11_M.1.1,2432,tabula_muris_2018_smatseq2
M11.MAA000907.3_11_M.1.1,2581,tabula_muris_2018_smatseq2
D12.MAA000907.3_11_M.1.1,1181,tabula_muris_2018_smatseq2
E18.MAA000907.3_11_M.1.1,1113,tabula_muris_2018_smatseq2
F22.MAA000907.3_11_M.1.1,1883,tabula_muris_2018_smatseq2
H9.MAA000907.3_11_M.1.1,2481,tabula_muris_2018_smatseq2
I21.MAA000907.3_11_M.1.1,2407,tabula_muris_2018_smatseq2
K4.MAA000907.3_11_M.1.1,2908,tabula_muris_2018_smatseq2
L9.MAA000907.3_11_M.1.1,2869,tabula_muris_2018_smatseq2
M12.MAA000907.3_11_M.1.1,1103,tabula_muris_2018_smatseq2
N15.MAA000907.3_11_M.1.1,531,tabula_muris_2018_smatseq2
O17.MAA000907.3_11_M.1.1,1324,tabula_muris_2018_smatseq2
N14.MAA000907.3_11_M.1.1,1926,tabula_muris_2018_smatseq2
P19.MAA000907.3_11_M.1.1,740,tabula_muris_2018_smatseq2
O16.MAA000907.3_11_M.1.1,2818,tabula_muris_2018_smatseq2
P18.MAA000907.3_11_M.1.1,2209,tabula_muris_2018_smatseq2
K5.MAA000907.3_11_M.1.1,1760,tabula_muris_2018_smatseq2
L10.MAA000907.3_11_M.1.1,1574,tabula_muris_2018_smatseq2
M13.MAA000907.3_11_M.1.1,2231,tabula_muris_2018_smatseq2
N16.MAA000907.3_11_M.1.1,2016,tabula_muris_2018_smatseq2
O18.MAA000907.3_11_M.1.1,2414,tabula_muris_2018_smatseq2
P20.MAA000907.3_11_M.1.1,2473,tabula_muris_2018_smatseq2
D14.MAA000907.3_11_M.1.1,1952,tabula_muris_2018_smatseq2
D13.MAA000907.3_11_M.1.1,2496,tabula_muris_2018_smatseq2
E19.MAA000907.3_11_M.1.1,2970,tabula_muris_2018_smatseq2
G1.MAA000907.3_11_M.1.1,1566,tabula_muris_2018_smatseq2
H10.MAA000907.3_11_M.1.1,1690,tabula_muris_2018_smatseq2
I22.MAA000907.3_11_M.1.1,3495,tabula_muris_2018_smatseq2
E20.MAA000907.3_11_M.1.1,2155,tabula_muris_2018_smatseq2
P21.MAA000907.3_11_M.1.1,2703,tabula_muris_2018_smatseq2
D15.MAA000907.3_11_M.1.1,1509,tabula_muris_2018_smatseq2
E21.MAA000907.3_11_M.1.1,892,tabula_muris_2018_smatseq2
G3.MAA000907.3_11_M.1.1,476,tabula_muris_2018_smatseq2
H12.MAA000907.3_11_M.1.1,2592,tabula_muris_2018_smatseq2
G2.MAA000907.3_11_M.1.1,2854,tabula_muris_2018_smatseq2
J2.MAA000907.3_11_M.1.1,3508,tabula_muris_2018_smatseq2
K7.MAA000907.3_11_M.1.1,1527,tabula_muris_2018_smatseq2
