,gene_name,dataset
306,Cnppd1,old_10X_cruk
307,Retreg2,old_10X_cruk
308,Zfand2b,old_10X_cruk
309,Abcb6,old_10X_cruk
310,Atg9a,old_10X_cruk
311,Ankzf1,old_10X_cruk
312,Glb1l,old_10X_cruk
313,Stk16,old_10X_cruk
314,Tuba4a,old_10X_cruk
315,Dnajb2,old_10X_cruk
316,Dnpep,old_10X_cruk
317,Speg,old_10X_cruk
318,Gmppa,old_10X_cruk
319,Chpf,old_10X_cruk
320,Obsl1,old_10X_cruk
321,Tmem198,old_10X_cruk
322,Inha,old_10X_cruk
323,Stk11ip,old_10X_cruk
324,Slc4a3,old_10X_cruk
325,Epha4,old_10X_cruk
326,Sgpp2,old_10X_cruk
327,Farsb,old_10X_cruk
328,Mogat1,old_10X_cruk
329,Acsl3,old_10X_cruk
330,Utp14b,old_10X_cruk
331,Kcne4,old_10X_cruk
332,Ap1s3,old_10X_cruk
333,Wdfy1,old_10X_cruk
334,Mrpl44,old_10X_cruk
335,Serpine2,old_10X_cruk
336,Cul3,old_10X_cruk
337,Dock10,old_10X_cruk
338,Irs1,old_10X_cruk
339,Rhbdd1,old_10X_cruk
340,Col4a4,old_10X_cruk
341,C430014B12Rik,old_10X_cruk
342,Mff,old_10X_cruk
343,Gm28941,old_10X_cruk
344,Agfg1,old_10X_cruk
345,A030005L19Rik,old_10X_cruk
346,Pid1,old_10X_cruk
347,Trip12,old_10X_cruk
348,Fbxo36,old_10X_cruk
349,A530032D15Rik,old_10X_cruk
350,A530040E14Rik,old_10X_cruk
351,G530012D18Rik,old_10X_cruk
352,Sp110,old_10X_cruk
353,Sp140,old_10X_cruk
354,Sp100,old_10X_cruk
355,A630001G21Rik,old_10X_cruk
356,Cab39,old_10X_cruk
357,Itm2c,old_10X_cruk
358,Gm28100,old_10X_cruk
359,Spata3,old_10X_cruk
360,2810459M11Rik,old_10X_cruk
361,Psmd1,old_10X_cruk
362,Htr2b,old_10X_cruk
363,Armc9,old_10X_cruk
364,Ncl,old_10X_cruk
365,C130036L24Rik,old_10X_cruk
366,Ptma,old_10X_cruk
367,Pde6d,old_10X_cruk
368,Cops7b,old_10X_cruk
369,Dis3l2,old_10X_cruk
370,Chrnd,old_10X_cruk
371,Eif4e2,old_10X_cruk
372,Efhd1,old_10X_cruk
373,Gigyf2,old_10X_cruk
374,Ngef,old_10X_cruk
375,Neu2,old_10X_cruk
376,Inpp5d,old_10X_cruk
377,Atg16l1,old_10X_cruk
378,Sag,old_10X_cruk
379,Dgkd,old_10X_cruk
380,Usp40,old_10X_cruk
381,Ugt1a9,old_10X_cruk
382,Ugt1a7c,old_10X_cruk
383,Ugt1a6b,old_10X_cruk
384,Ugt1a6a,old_10X_cruk
385,Ugt1a5,old_10X_cruk
386,Dnajb3,old_10X_cruk
387,Ugt1a1,old_10X_cruk
388,Mroh2a,old_10X_cruk
389,Hjurp,old_10X_cruk
390,Spp2,old_10X_cruk
391,Arl4c,old_10X_cruk
392,Sh3bp4,old_10X_cruk
393,Agap1,old_10X_cruk
394,Ackr3,old_10X_cruk
395,Cops8,old_10X_cruk
396,Col6a3,old_10X_cruk
397,Mlph,old_10X_cruk
398,Prlh,old_10X_cruk
399,Rab17,old_10X_cruk
400,Lrrfip1,old_10X_cruk
401,Ramp1,old_10X_cruk
402,Ube2f,old_10X_cruk
403,Scly,old_10X_cruk
404,Ilkap,old_10X_cruk
405,Hes6,old_10X_cruk
406,Per2,old_10X_cruk
407,Gm28382,old_10X_cruk
408,Traf3ip1,old_10X_cruk
409,Asb1,old_10X_cruk
410,Hdac4,old_10X_cruk
411,Ndufa10,old_10X_cruk
412,Cops9,old_10X_cruk
413,Gpc1,old_10X_cruk
414,Ankmy1,old_10X_cruk
415,Dusp28,old_10X_cruk
416,5033417F24Rik,old_10X_cruk
417,Rnpepl1,old_10X_cruk
418,9430060I03Rik,old_10X_cruk
419,Capn10,old_10X_cruk
420,Gm28086,old_10X_cruk
421,Agxt,old_10X_cruk
422,Sned1,old_10X_cruk
423,Mterf4,old_10X_cruk
424,Pask,old_10X_cruk
425,Ppp1r7,old_10X_cruk
426,Hdlbp,old_10X_cruk
427,Sept2,old_10X_cruk
428,Farp2,old_10X_cruk
429,Stk25,old_10X_cruk
430,Bok,old_10X_cruk
431,Thap4,old_10X_cruk
432,Gm10550,old_10X_cruk
433,Atg4b,old_10X_cruk
434,Dtymk,old_10X_cruk
435,Ing5,old_10X_cruk
436,D2hgdh,old_10X_cruk
437,Pdcd1,old_10X_cruk
438,Fam174a,old_10X_cruk
439,St8sia4,old_10X_cruk
440,Slco6c1,old_10X_cruk
441,D1Ertd622e,old_10X_cruk
442,Ppip5k2,old_10X_cruk
443,Gin1,old_10X_cruk
444,Pam,old_10X_cruk
445,B230216N24Rik,old_10X_cruk
446,Gm7967,old_10X_cruk
447,Gm20268,old_10X_cruk
448,Rnf152,old_10X_cruk
449,Gm17634,old_10X_cruk
450,Pign,old_10X_cruk
451,Gm28404,old_10X_cruk
452,Relch,old_10X_cruk
453,Tnfrsf11a,old_10X_cruk
454,Gm7160,old_10X_cruk
455,Zcchc2,old_10X_cruk
456,Phlpp1,old_10X_cruk
457,Bcl2,old_10X_cruk
458,Kdsr,old_10X_cruk
459,Vps4b,old_10X_cruk
460,Serpinb12,old_10X_cruk
461,Serpinb8,old_10X_cruk
462,D830032E09Rik,old_10X_cruk
463,Dsel,old_10X_cruk
464,Tsn,old_10X_cruk
465,Nifk,old_10X_cruk
466,Clasp1,old_10X_cruk
467,2900060B14Rik,old_10X_cruk
468,Tfcp2l1,old_10X_cruk
469,Gm29455,old_10X_cruk
470,Inhbb,old_10X_cruk
471,Ralb,old_10X_cruk
472,Gm27184,old_10X_cruk
473,Tmem185b,old_10X_cruk
474,Epb41l5,old_10X_cruk
475,Ptpn4,old_10X_cruk
476,Tmem177,old_10X_cruk
477,Tmem37,old_10X_cruk
478,Dbi,old_10X_cruk
479,3110009E18Rik,old_10X_cruk
480,Steap3,old_10X_cruk
481,Marco,old_10X_cruk
482,Insig2,old_10X_cruk
483,Ccdc93,old_10X_cruk
484,Htr5b,old_10X_cruk
485,Ddx18,old_10X_cruk
486,Dpp10,old_10X_cruk
487,Actr3,old_10X_cruk
488,Slc35f5,old_10X_cruk
489,Gpr39,old_10X_cruk
490,Lypd1,old_10X_cruk
491,Nckap5,old_10X_cruk
492,Mgat5,old_10X_cruk
493,Tmem163,old_10X_cruk
494,Acmsd,old_10X_cruk
495,2900009J06Rik,old_10X_cruk
496,Ccnt2,old_10X_cruk
497,Rab3gap1,old_10X_cruk
498,Zranb3,old_10X_cruk
499,R3hdm1,old_10X_cruk
500,Ubxn4,old_10X_cruk
501,Mcm6,old_10X_cruk
502,Dars,old_10X_cruk
503,Cxcr4,old_10X_cruk
504,Gm15675,old_10X_cruk
505,Cd55,old_10X_cruk
506,C4bp,old_10X_cruk
507,Pfkfb2,old_10X_cruk
508,Yod1,old_10X_cruk
509,AA986860,old_10X_cruk
510,Pigr,old_10X_cruk
511,Fcmr,old_10X_cruk
512,Il19,old_10X_cruk
513,Il10,old_10X_cruk
514,Mapkapk2,old_10X_cruk
515,Dyrk3,old_10X_cruk
516,Eif2d,old_10X_cruk
517,Rassf5,old_10X_cruk
518,Ikbke,old_10X_cruk
519,Srgap2,old_10X_cruk
520,Gm29488,old_10X_cruk
521,Fam72a,old_10X_cruk
522,Ctse,old_10X_cruk
523,Rab7b,old_10X_cruk
524,Pm20d1,old_10X_cruk
525,Slc41a1,old_10X_cruk
526,Rab29,old_10X_cruk
527,Nucks1,old_10X_cruk
528,Slc45a3,old_10X_cruk
529,Elk4,old_10X_cruk
530,Mfsd4a,old_10X_cruk
531,Cdk18,old_10X_cruk
532,Lemd1,old_10X_cruk
533,Gm29695,old_10X_cruk
534,Klhdc8a,old_10X_cruk
535,Nuak2,old_10X_cruk
536,Tmcc2,old_10X_cruk
537,Dstyk,old_10X_cruk
538,6030442K20Rik,old_10X_cruk
539,Rbbp5,old_10X_cruk
540,Tmem81,old_10X_cruk
541,Cntn2,old_10X_cruk
542,Nfasc,old_10X_cruk
543,Mdm4,old_10X_cruk
544,Pik3c2b,old_10X_cruk
545,Ppp1r15b,old_10X_cruk
546,Plekha6,old_10X_cruk
547,Gm19461,old_10X_cruk
548,Kiss1,old_10X_cruk
549,Etnk2,old_10X_cruk
550,Sox13,old_10X_cruk
551,Snrpe,old_10X_cruk
552,Zc3h11a,old_10X_cruk
553,Gm38394,old_10X_cruk
554,Lax1,old_10X_cruk
555,Atp2b4,old_10X_cruk
556,Prelp,old_10X_cruk
557,Btg2,old_10X_cruk
558,Adora1,old_10X_cruk
559,Ppfia4,old_10X_cruk
560,Tmem183a,old_10X_cruk
561,Cyb5r1,old_10X_cruk
562,Adipor1,old_10X_cruk
563,Platr1,old_10X_cruk
564,Klhl12,old_10X_cruk
565,Rabif,old_10X_cruk
566,Kdm5b,old_10X_cruk
567,Ppp1r12b,old_10X_cruk
568,Ube2t,old_10X_cruk
569,Ptpn7,old_10X_cruk
570,Arl8a,old_10X_cruk
571,Gm15445,old_10X_cruk
572,Gpr37l1,old_10X_cruk
573,Rnpep,old_10X_cruk
574,Timm17a,old_10X_cruk
575,Ipo9,old_10X_cruk
576,Nav1,old_10X_cruk
577,Csrp1,old_10X_cruk
578,Lad1,old_10X_cruk
579,Tmem9,old_10X_cruk
580,Kif21b,old_10X_cruk
581,Inava,old_10X_cruk
582,Camsap2,old_10X_cruk
583,9230116N13Rik,old_10X_cruk
584,Ddx59,old_10X_cruk
585,Kif14,old_10X_cruk
586,Zfp281,old_10X_cruk
587,Gm19705,old_10X_cruk
588,Platr22,old_10X_cruk
589,Nr5a2,old_10X_cruk
590,Gm4258,old_10X_cruk
591,Gm26930,old_10X_cruk
592,A430106G13Rik,old_10X_cruk
593,Ptprc,old_10X_cruk
594,Nek7,old_10X_cruk
595,2310009B15Rik,old_10X_cruk
596,Dennd1b,old_10X_cruk
597,Zbtb41,old_10X_cruk
598,Aspm,old_10X_cruk
599,F13b,old_10X_cruk
600,Cfhr1,old_10X_cruk
601,Gm4788,old_10X_cruk
602,Cfhr2,old_10X_cruk
603,Cfh,old_10X_cruk
604,Kcnt2,old_10X_cruk
605,Cdc73,old_10X_cruk
606,Glrx2,old_10X_cruk
607,Ro60,old_10X_cruk
608,Uchl5,old_10X_cruk
609,Gm29170,old_10X_cruk
610,Rgs2,old_10X_cruk
611,Rgs1,old_10X_cruk
612,A230059L01Rik,old_10X_cruk
613,Gm15584,old_10X_cruk
614,Pla2g4a,old_10X_cruk
615,Odr4,old_10X_cruk
616,Tpr,old_10X_cruk
617,Prg4,old_10X_cruk
618,Hmcn1,old_10X_cruk
619,C730036E19Rik,old_10X_cruk
620,Gm10138,old_10X_cruk
621,Ivns1abp,old_10X_cruk
622,Swt1,old_10X_cruk
623,Trmt1l,old_10X_cruk
624,Rnf2,old_10X_cruk
625,Fam129a,old_10X_cruk
626,2810414N06Rik,old_10X_cruk
627,Edem3,old_10X_cruk
628,1700025G04Rik,old_10X_cruk
629,Tsen15,old_10X_cruk
630,Colgalt2,old_10X_cruk
631,Rgl1,old_10X_cruk
632,Arpc5,old_10X_cruk
633,Ncf2,old_10X_cruk
634,Smg7,old_10X_cruk
635,Gm28791,old_10X_cruk
636,Nmnat2,old_10X_cruk
637,Lamc1,old_10X_cruk
638,Shcbp1l,old_10X_cruk
639,Dhx9,old_10X_cruk
640,Npl,old_10X_cruk
641,Rgs8,old_10X_cruk
642,Rgs16,old_10X_cruk
643,Rnasel,old_10X_cruk
644,Teddm2,old_10X_cruk
645,Glul,old_10X_cruk
646,4930452N14Rik,old_10X_cruk
647,Cacna1e,old_10X_cruk
648,Gm9530,old_10X_cruk
649,Ier5,old_10X_cruk
650,Mr1,old_10X_cruk
651,Stx6,old_10X_cruk
652,Xpr1,old_10X_cruk
653,Gm5532,old_10X_cruk
654,Acbd6,old_10X_cruk
655,Qsox1,old_10X_cruk
656,Cep350,old_10X_cruk
657,Tor1aip1,old_10X_cruk
658,Tor1aip2,old_10X_cruk
659,4930518J20Rik,old_10X_cruk
660,Gm2000,old_10X_cruk
661,Soat1,old_10X_cruk
662,Abl2,old_10X_cruk
663,Tor3a,old_10X_cruk
664,Fam20b,old_10X_cruk
665,Ralgps2,old_10X_cruk
666,Rasal2,old_10X_cruk
667,Cryzl2,old_10X_cruk
668,Sec16b,old_10X_cruk
669,Brinp2,old_10X_cruk
670,Pappa2,old_10X_cruk
671,Cop1,old_10X_cruk
672,Tnr,old_10X_cruk
673,4930523C07Rik,old_10X_cruk
674,Mrps14,old_10X_cruk
675,Cacybp,old_10X_cruk
676,Rabgap1l,old_10X_cruk
677,Gm37529,old_10X_cruk
678,Gpr52,old_10X_cruk
679,Gm37328,old_10X_cruk
680,Rc3h1,old_10X_cruk
681,Serpinc1,old_10X_cruk
682,Zbtb37,old_10X_cruk
683,Gas5,old_10X_cruk
684,Dars2,old_10X_cruk
685,Cenpl,old_10X_cruk
686,Klhl20,old_10X_cruk
687,Ankrd45,old_10X_cruk
688,Tex50,old_10X_cruk
689,Prdx6,old_10X_cruk
690,Fasl,old_10X_cruk
691,Suco,old_10X_cruk
692,Pigc,old_10X_cruk
693,Dnm3,old_10X_cruk
694,Dnm3os,old_10X_cruk
695,Eef1aknmt,old_10X_cruk
696,Vamp4,old_10X_cruk
697,Prrc2c,old_10X_cruk
698,Fmo4,old_10X_cruk
699,Fmo1,old_10X_cruk
700,Fmo2,old_10X_cruk
701,Gorab,old_10X_cruk
702,Kifap3,old_10X_cruk
703,Scyl3,old_10X_cruk
704,BC055324,old_10X_cruk
705,Mettl18,old_10X_cruk
706,Sell,old_10X_cruk
707,Selp,old_10X_cruk
708,Gm16587,old_10X_cruk
709,Gm16548,old_10X_cruk
710,F5,old_10X_cruk
711,Slc19a2,old_10X_cruk
712,Ccdc181,old_10X_cruk
713,Blzf1,old_10X_cruk
714,Nme7,old_10X_cruk
715,Atp1b1,old_10X_cruk
716,Gm26685,old_10X_cruk
717,Gm32569,old_10X_cruk
718,Xcl1,old_10X_cruk
719,Sft2d2,old_10X_cruk
720,Tiprl,old_10X_cruk
721,Gm38190,old_10X_cruk
722,Dcaf6,old_10X_cruk
723,Gm37864,old_10X_cruk
724,Mpc2,old_10X_cruk
725,Mpzl1,old_10X_cruk
726,Rcsd1,old_10X_cruk
727,Creg1,old_10X_cruk
728,Gm16565,old_10X_cruk
729,Cd247,old_10X_cruk
730,Pou2f1,old_10X_cruk
731,Mael,old_10X_cruk
732,Ildr2,old_10X_cruk
733,Gm15853,old_10X_cruk
734,Tada1,old_10X_cruk
735,Pogk,old_10X_cruk
736,Gm4847,old_10X_cruk
737,Gm16701,old_10X_cruk
738,Fam78b,old_10X_cruk
739,Uck2,old_10X_cruk
740,Tmco1,old_10X_cruk
741,Aldh9a1,old_10X_cruk
742,Mgst3,old_10X_cruk
743,Rxrg,old_10X_cruk
744,Pbx1,old_10X_cruk
745,Nuf2,old_10X_cruk
746,Rgs5,old_10X_cruk
747,Ccdc190,old_10X_cruk
748,Gm15852,old_10X_cruk
749,Hsd17b7,old_10X_cruk
750,3110045C21Rik,old_10X_cruk
751,Ddr2,old_10X_cruk
752,Uap1,old_10X_cruk
753,Uhmk1,old_10X_cruk
754,4930500M09Rik,old_10X_cruk
755,Sh2d1b1,old_10X_cruk
756,Gm7694,old_10X_cruk
757,Nos1ap,old_10X_cruk
758,Spata46,old_10X_cruk
759,Atf6,old_10X_cruk
760,Dusp12,old_10X_cruk
761,Gm26620,old_10X_cruk
762,Fcrla,old_10X_cruk
763,Fcgr2b,old_10X_cruk
764,Fcgr4,old_10X_cruk
765,Fcgr3,old_10X_cruk
766,Cfap126,old_10X_cruk
767,Sdhc,old_10X_cruk
768,Mpz,old_10X_cruk
769,Nr1i3,old_10X_cruk
770,Tomm40l,old_10X_cruk
771,Apoa2,old_10X_cruk
772,Fcer1g,old_10X_cruk
773,Ndufs2,old_10X_cruk
774,Adamts4,old_10X_cruk
775,B4galt3,old_10X_cruk
776,Ppox,old_10X_cruk
777,Usp21,old_10X_cruk
778,Ufc1,old_10X_cruk
779,Gm20045,old_10X_cruk
780,Dedd,old_10X_cruk
781,Nit1,old_10X_cruk
782,Pfdn2,old_10X_cruk
783,Nectin4,old_10X_cruk
784,Arhgap30,old_10X_cruk
785,Usf1,old_10X_cruk
786,Tstd1,old_10X_cruk
787,F11r,old_10X_cruk
788,B930036N10Rik,old_10X_cruk
789,Alyref2,old_10X_cruk
790,Cd244a,old_10X_cruk
791,Ly9,old_10X_cruk
792,Slamf7,old_10X_cruk
793,Cd48,old_10X_cruk
794,Slamf1,old_10X_cruk
795,Cd84,old_10X_cruk
796,Gm10521,old_10X_cruk
797,Gm37065,old_10X_cruk
798,Slamf6,old_10X_cruk
799,Vangl2,old_10X_cruk
800,Ncstn,old_10X_cruk
801,Copa,old_10X_cruk
802,Pex19,old_10X_cruk
803,Dcaf8,old_10X_cruk
804,Pea15a,old_10X_cruk
805,Casq1,old_10X_cruk
806,Gm17224,old_10X_cruk
807,Igsf8,old_10X_cruk
808,Atp1a2,old_10X_cruk
809,Kcnj9,old_10X_cruk
810,Kcnj10,old_10X_cruk
811,Pigm,old_10X_cruk
