,n_genes,dataset
SLX-19577.i723_i521,407,snRNAseq2_old_buffer
SLX-19577.i723_i522,1493,snRNAseq2_old_buffer
SLX-19577.i724_i502,1508,snRNAseq2_old_buffer
SLX-19577.i724_i503,1188,snRNAseq2_old_buffer
SLX-19577.i724_i505,268,snRNAseq2_old_buffer
SLX-19577.i724_i506,612,snRNAseq2_old_buffer
SLX-19577.i724_i507,1240,snRNAseq2_old_buffer
SLX-19577.i724_i508,2149,snRNAseq2_old_buffer
SLX-19577.i724_i510,1515,snRNAseq2_old_buffer
SLX-19577.i724_i511,553,snRNAseq2_old_buffer
SLX-19577.i724_i513,96,snRNAseq2_old_buffer
SLX-19577.i724_i515,635,snRNAseq2_old_buffer
SLX-19577.i724_i516,507,snRNAseq2_old_buffer
SLX-19577.i724_i517,1569,snRNAseq2_old_buffer
SLX-19577.i724_i518,2966,snRNAseq2_old_buffer
SLX-19577.i724_i520,685,snRNAseq2_old_buffer
SLX-19577.i724_i521,941,snRNAseq2_old_buffer
SLX-19577.i724_i522,94,snRNAseq2_old_buffer
SLX-19577.i726_i502,1320,snRNAseq2_old_buffer
SLX-19577.i726_i503,2197,snRNAseq2_old_buffer
SLX-19577.i726_i505,1989,snRNAseq2_old_buffer
SLX-19577.i726_i506,1161,snRNAseq2_old_buffer
SLX-19577.i726_i507,453,snRNAseq2_old_buffer
SLX-19577.i726_i508,2515,snRNAseq2_old_buffer
SLX-19577.i726_i510,469,snRNAseq2_old_buffer
SLX-19577.i726_i511,1073,snRNAseq2_old_buffer
SLX-19577.i726_i513,688,snRNAseq2_old_buffer
SLX-19577.i726_i515,1668,snRNAseq2_old_buffer
SLX-19577.i726_i516,341,snRNAseq2_old_buffer
SLX-19577.i726_i517,2935,snRNAseq2_old_buffer
SLX-19577.i726_i518,622,snRNAseq2_old_buffer
SLX-19577.i726_i520,4218,snRNAseq2_old_buffer
SLX-19577.i726_i521,401,snRNAseq2_old_buffer
SLX-19577.i726_i522,1230,snRNAseq2_old_buffer
SLX-19577.i727_i502,3103,snRNAseq2_old_buffer
SLX-19577.i727_i503,1258,snRNAseq2_old_buffer
SLX-19577.i727_i505,1529,snRNAseq2_old_buffer
SLX-19577.i727_i506,1086,snRNAseq2_old_buffer
SLX-19577.i727_i507,2064,snRNAseq2_old_buffer
SLX-19577.i727_i508,2671,snRNAseq2_old_buffer
SLX-19577.i727_i510,1497,snRNAseq2_old_buffer
SLX-19577.i727_i511,690,snRNAseq2_old_buffer
SLX-19577.i727_i513,896,snRNAseq2_old_buffer
SLX-19577.i727_i515,1283,snRNAseq2_old_buffer
SLX-19577.i727_i516,2665,snRNAseq2_old_buffer
SLX-19577.i727_i517,270,snRNAseq2_old_buffer
SLX-19577.i727_i518,2500,snRNAseq2_old_buffer
SLX-19577.i727_i520,1891,snRNAseq2_old_buffer
SLX-19577.i727_i521,1453,snRNAseq2_old_buffer
SLX-19577.i727_i522,197,snRNAseq2_old_buffer
SLX-19577.i728_i502,3952,snRNAseq2_old_buffer
SLX-19577.i728_i503,2338,snRNAseq2_old_buffer
SLX-19577.i728_i505,298,snRNAseq2_old_buffer
SLX-19577.i728_i506,362,snRNAseq2_old_buffer
SLX-19577.i728_i507,217,snRNAseq2_old_buffer
SLX-19577.i728_i508,2649,snRNAseq2_old_buffer
SLX-19577.i728_i510,513,snRNAseq2_old_buffer
SLX-19577.i728_i511,619,snRNAseq2_old_buffer
SLX-19577.i728_i513,2095,snRNAseq2_old_buffer
SLX-19577.i728_i515,1601,snRNAseq2_old_buffer
SLX-19577.i728_i516,1410,snRNAseq2_old_buffer
SLX-19577.i728_i517,199,snRNAseq2_old_buffer
SLX-19577.i728_i518,1988,snRNAseq2_old_buffer
SLX-19577.i728_i520,1416,snRNAseq2_old_buffer
SLX-19577.i728_i521,241,snRNAseq2_old_buffer
SLX-19577.i728_i522,2108,snRNAseq2_old_buffer
SLX-19577.i729_i502,2657,snRNAseq2_old_buffer
SLX-19577.i729_i503,1143,snRNAseq2_old_buffer
SLX-19577.i729_i505,956,snRNAseq2_old_buffer
SLX-19577.i729_i506,1374,snRNAseq2_old_buffer
SLX-19577.i729_i507,2302,snRNAseq2_old_buffer
SLX-19577.i729_i508,1952,snRNAseq2_old_buffer
SLX-19577.i729_i510,1921,snRNAseq2_old_buffer
SLX-19577.i729_i511,413,snRNAseq2_old_buffer
SLX-19577.i729_i513,1387,snRNAseq2_old_buffer
SLX-19577.i729_i515,709,snRNAseq2_old_buffer
SLX-19577.i729_i516,1492,snRNAseq2_old_buffer
SLX-19577.i729_i517,1149,snRNAseq2_old_buffer
SLX-19577.i729_i518,2201,snRNAseq2_old_buffer
SLX-19577.i729_i520,1140,snRNAseq2_old_buffer
SLX-19577.i729_i521,88,snRNAseq2_old_buffer
SLX-19577.i729_i522,1316,snRNAseq2_old_buffer
