Bche	Hepatocyte	Hepatocyte
Ghr	Hepatocyte	Hepatocyte
Aldh6a1	Hepatocyte	Hepatocyte
Masp2	Hepatocyte	Hepatocyte
Hamp	Hepatocyte	Hepatocyte
Acly	Hepatocyte	Hepatocyte
Asl	Hepatocyte	Hepatocyte
Mup3	Hepatocyte	Hepatocyte
Tmem97	Hepatocyte	Hepatocyte
Cp	Hepatocyte	Hepatocyte
Acat2	Hepatocyte	Hepatocyte
Tm4sf5	Hepatocyte	Hepatocyte
Msmo1	Hepatocyte	Hepatocyte
Lepr	Hepatocyte	Hepatocyte
Rcan1	Hepatocyte	Hepatocyte
Ar	Hepatocyte	Hepatocyte
Plin1	Hepatocyte	Hepatocyte
Rpp25l	Hepatocyte	Hepatocyte
Hsd11b1	Hepatocyte	Hepatocyte
Apom	Hepatocyte	Hepatocyte
Tkfc	Hepatocyte	Hepatocyte
G0s2	Hepatocyte	Hepatocyte
Pon3	Hepatocyte	Hepatocyte
Ttc36	Hepatocyte	Hepatocyte
Golt1a	Hepatocyte	Hepatocyte
Fst	Hepatocyte	Hepatocyte
Mcc	Hepatocyte	Hepatocyte
Aqp9	Hepatocyte	Hepatocyte
Gsta2	Hepatocyte	Hepatocyte
Nnt	Hepatocyte	Hepatocyte
Saa4	Hepatocyte	Hepatocyte
Mrps18c	Hepatocyte	Hepatocyte
Ociad1	Hepatocyte	Hepatocyte
Apoa5	Hepatocyte	Hepatocyte
Entpd5	Hepatocyte	Hepatocyte
C4b	Hepatocyte	Hepatocyte
Eid2	Hepatocyte	Hepatocyte
Atic	Hepatocyte	Hepatocyte
Serpinh1	Hepatocyte	Hepatocyte
Samd5	Hepatocyte	Hepatocyte
Grb14	Hepatocyte	Hepatocyte
Abcd3	Hepatocyte	Hepatocyte
Rhob	Hepatocyte	Hepatocyte
Epb41l4b	Hepatocyte	Hepatocyte
Gpat4	Hepatocyte	Hepatocyte
Sdc2	Hepatocyte	Hepatocyte
Phlda1	Hepatocyte	Hepatocyte
Wtap	Hepatocyte	Hepatocyte
Acadm	Hepatocyte	Hepatocyte
Tnf	Kupffer cell	Kupffer cell
